IBI Mean,IBI STD,pnn50,EDA Mean,EDA STD,EDA Tonic Slope,EDA Phasic Slope,Result
0.482142857,0.084507698,33.33333333,1.526129167,0.268180963,0.00390176,0.003833061,1
0.482142857,0.084507698,33.33333333,1.5234875,0.270408857,-0.01983651,0.00283162,1
0.482142857,0.084507698,33.33333333,1.524020833,0.270548955,-0.016590909,0.003071128,1
0.482142857,0.084507698,33.33333333,1.5251,0.270818402,-0.012371701,0.003296321,1
0.482142857,0.084507698,33.33333333,1.526145833,0.270954623,-0.008835044,0.003392581,1
0.482142857,0.084507698,33.33333333,1.526729167,0.270918156,-0.003878299,0.003334372,1
0.482142857,0.084507698,33.33333333,1.5268625,0.270900477,0.001788123,0.003229877,1
0.482142857,0.084507698,33.33333333,1.527179167,0.27083083,0.008554252,0.003056631,1
0.482142857,0.084507698,33.33333333,1.527466667,0.27074979,0.016167155,0.002823622,1
0.482142857,0.084507698,33.33333333,1.527579167,0.270717646,0.019020528,0.002564744,1
0.482142857,0.084507698,33.33333333,1.527970833,0.270610396,0.016220674,0.002305573,1
0.482142857,0.084507698,33.33333333,1.528404167,0.270486212,0.014953812,0.002036735,1
0.482142857,0.084507698,33.33333333,1.5285375,0.270465691,-0.055167889,0.001754841,1
0.482142857,0.084507698,33.33333333,1.528679167,0.27044157,-0.062759531,0.001579519,1
0.482142857,0.084507698,33.33333333,1.528854167,0.270409057,-0.033475073,0.001427294,1
0.482142857,0.084507698,33.33333333,1.528991667,0.270381659,0.005379032,0.001395205,1
0.482142857,0.084507698,33.33333333,1.527891667,0.270381268,0.042788123,0.001402622,1
0.482142857,0.084507698,33.33333333,1.526579167,0.270491932,0.064664223,0.001325632,1
0.482142857,0.084507698,33.33333333,1.525666667,0.270627999,0.078554252,0.001189087,1
0.482142857,0.084507698,33.33333333,1.523754167,0.270793975,0.094415689,0.001098198,1
0.482142857,0.084507698,33.33333333,1.535083333,0.249540096,0.022951613,-0.000365131,1
0.482142857,0.084507698,33.33333333,1.538583333,0.241124538,-0.019630499,-0.001012077,1
0.482142857,0.084507698,33.33333333,1.536029167,0.240812797,-0.028127566,-0.00091967,1
0.482142857,0.084507698,33.33333333,1.531329167,0.239094272,-0.021818182,-0.000632218,1
0.482142857,0.084507698,33.33333333,1.526458333,0.237434356,-0.009438416,-0.000370795,1
0.482142857,0.084507698,33.33333333,1.524091667,0.236957995,-0.00054912,-0.000216959,1
0.482142857,0.084507698,33.33333333,1.520504167,0.237766219,-0.04418695,-0.000279774,1
0.482142857,0.084507698,33.33333333,1.518879167,0.237488767,-0.115225073,-0.000135105,1
0.482142857,0.084507698,33.33333333,1.518958333,0.237549395,-0.074128299,0.000120544,1
0.482142857,0.084507698,33.33333333,1.521645833,0.239231834,-0.035512463,0.000618318,1
0.482142857,0.084507698,33.33333333,1.527508333,0.24454824,-0.02131305,0.001333433,1
0.482142857,0.084507698,33.33333333,1.537041667,0.256709706,-0.03103739,0.002386646,1
0.482142857,0.084507698,33.33333333,1.546679167,0.268937774,0.002673754,0.003496344,1
0.482142857,0.084507698,33.33333333,1.554070833,0.277320781,0.065376833,0.004528744,1
0.482142857,0.084507698,33.33333333,1.569929167,0.267822934,0.071348974,0.004524264,1
0.482142857,0.084507698,33.33333333,1.595520833,0.228706689,-0.001160557,0.00352473,1
0.482142857,0.084507698,33.33333333,1.603954167,0.238938141,0.023786657,0.004470583,1
0.482142857,0.084507698,33.33333333,1.6121625,0.247711464,0.049755132,0.005336046,1
0.482142857,0.084507698,33.33333333,1.627058333,0.256785036,0.04798607,0.005955124,1
0.482142857,0.084507698,33.33333333,1.6483625,0.253246006,0.014968475,0.006135959,1
0.482142857,0.084507698,33.33333333,1.662908333,0.260037305,0.006720674,0.006639685,1
0.4505,0.036371921,20,1.674516667,0.271989292,0.016158358,0.007556169,1
0.4505,0.036371921,20,1.684954167,0.279427797,0.018168622,0.008205307,1
0.4505,0.036371921,20,1.694145833,0.283854158,0.016827713,0.008655649,1
0.4505,0.036371921,20,1.702691667,0.287410647,0.015898094,0.009051907,1
0.4505,0.036371921,20,1.711008333,0.290488755,0.017564516,0.009408222,1
0.4505,0.036371921,20,1.719195833,0.292826696,0.027890762,0.009686771,1
0.4505,0.036371921,20,1.726975,0.295277707,0.035505865,0.009997184,1
0.4505,0.036371921,20,1.733945833,0.298527848,0.037618035,0.010458597,1
0.4505,0.036371921,20,1.740995833,0.301889059,0.029354106,0.010935473,1
0.4505,0.036371921,20,1.747983333,0.304456537,0.008483138,0.011305835,1
0.4505,0.036371921,20,1.755041667,0.306854061,-0.015446481,0.011652348,1
0.4505,0.036371921,20,1.762358333,0.309786265,-0.038506598,0.012063598,1
0.4505,0.036371921,20,1.769254167,0.313202447,-0.090875367,0.012581922,1
0.4505,0.036371921,20,1.773241667,0.316053885,-0.072920088,0.013333027,1
0.4505,0.036371921,20,1.777254167,0.319322391,-0.044453079,0.014170494,1
0.4725,0.020303941,0,1.7871875,0.330008337,-0.020510264,0.015327622,1
0.5,0,0,1.800295833,0.343310671,-0.004782991,0.016468433,1
0,0,0,1.812833333,0.350797065,0.002480938,0.017154951,1
0,0,0,1.824816667,0.355578648,0.007755865,0.017624681,1
0,0,0,1.8371625,0.359526857,0.011547654,0.018002269,1
0,0,0,1.85605,0.350507165,-0.026585777,0.017565263,1
0,0,0,1.8678875,0.354048725,-0.023904692,0.017914504,1
0,0,0,1.8809875,0.359300576,-0.016211144,0.018391477,1
0,0,0,1.893666667,0.362216115,-0.00965176,0.018656421,1
0,0,0,1.908841667,0.365590401,-0.003615836,0.018925339,1
0,0,0,1.925045833,0.368793136,0.00122654,0.019154938,1
0,0,0,1.9415625,0.370904205,0.007694282,0.019310226,1
0,0,0,1.9567875,0.369824013,0.008975073,0.019222079,1
0,0,0,1.972675,0.368329555,0.005516129,0.019105887,1
0,0,0,1.988254167,0.366161494,0.002123167,0.018934567,1
0,0,0,2.002229167,0.362738613,-0.002884897,0.018551959,1
0,0,0,2.018475,0.359354675,-0.009592375,0.018301033,1
0,0,0,2.034995833,0.357011595,-0.010733871,0.018131539,1
0,0,0,2.051825,0.354698632,-0.007143695,0.017964586,1
0,0,0,2.069483333,0.354456085,-0.000684751,0.017938898,1
0,0,0,2.089675,0.355832947,0.002859971,0.018019361,1
0,0,0,2.112833333,0.35963466,0.007006598,0.01821417,1
0,0,0,2.136433333,0.362327137,0.00030132,0.018350996,1
0,0,0,2.15875,0.360012714,0.003692815,0.018224792,1
0,0,0,2.181966667,0.357261107,0.011151026,0.018079446,1
0,0,0,2.205366667,0.354502596,0.029145894,0.017939096,1
0,0,0,2.228070833,0.351545574,0.058010997,0.017781307,1
0,0,0,2.250620833,0.346143362,0.093961144,0.017502198,1
0,0,0,2.273908333,0.339190568,0.114497801,0.017160336,1
0,0,0,2.296475,0.331927915,0.115876833,0.016800278,1
0,0,0,2.319479167,0.31593024,0.089424487,0.016062003,1
0,0,0,2.3386625,0.30103863,0.061475806,0.015263833,1
0,0,0,2.358029167,0.290115328,0.036390029,0.014699094,1
0,0,0,2.377158333,0.287197609,0.012736804,0.014553704,1
0,0,0,2.3954875,0.292020447,0.009654692,0.014813335,1
0,0,0,2.411283333,0.302743488,0.02740176,0.015493762,1
0,0,0,2.424825,0.309484078,0.037457478,0.016000882,1
0,0,0,2.438029167,0.311500968,0.041006598,0.016156289,1
0,0,0,2.452175,0.312139236,0.025709677,0.016201243,1
0,0,0,2.468345833,0.31613216,0.001535924,0.016459919,1
0,0,0,2.4831,0.320919743,-0.016919355,0.016804403,1
0,0,0,2.497679167,0.323672573,-0.036898094,0.017008092,1
0,0,0,2.509870833,0.32817609,-0.043346041,0.01738862,1
0,0,0,2.523866667,0.338239078,-0.035604106,0.018162197,1
0,0,0,2.536829167,0.342123016,-0.028195015,0.018501,1
0,0,0,2.5488,0.345901313,-0.010659091,0.018860932,1
0,0,0,2.562858333,0.348030154,-0.00151393,0.019040317,1
0,0,0,2.576433333,0.345611686,0.00151173,0.018834126,1
0,0,0,2.5897875,0.34138506,0.005258798,0.018471784,1
0,0,0,2.603820833,0.336747329,0.009496334,0.01809708,1
0,0,0,2.620654167,0.333597114,0.008863636,0.017887465,1
0,0,0,2.639595833,0.332904464,0.01018695,0.017847148,1
0,0,0,2.657995833,0.331860984,0.035106305,0.017784397,1
0,0,0,2.676133333,0.330164175,0.061414223,0.01768113,1
0,0,0,2.694795833,0.326728283,0.062987537,0.017480475,1
0,0,0,2.713420833,0.32225076,0.051559384,0.017219721,1
0,0,0,2.730920833,0.317011419,0.037193548,0.016900764,1
0,0,0,2.747579167,0.31109388,0.017959677,0.016529237,1
0,0,0,2.7640625,0.303300635,-0.002101173,0.01604678,1
0,0,0,2.77995,0.295283292,-0.017370968,0.015549742,1
0.422,0.016,0,2.791383333,0.294581021,-0.013945015,0.0154967,1
0.422,0.011313708,0,2.800875,0.295114457,0.009622434,0.015555197,1
0.422,0.011313708,0,2.812941667,0.292758527,0.023774927,0.015368916,1
0.422,0.011313708,0,2.826954167,0.288889054,0.028231672,0.015101201,1
