IBI Mean,IBI STD,pnn50,EDA Mean,EDA STD,EDA Tonic Slope,EDA Phasic Slope,Result
0.807241379,0.048369023,10.52631579,0.240383333,0.004917119,0.001943548,0.000115478,0
0.8069,0.047591561,10.16949153,0.240783333,0.002131835,0.000239736,8.15E-05,0
0.80647541,0.047314298,10,0.240858333,0.002066784,0.000129765,7.54E-05,0
0.804806452,0.048707765,11.47540984,0.240929167,0.001995616,3.01E-05,6.87E-05,0
0.801625,0.051108494,11.11111111,0.241008333,0.001979039,-1.61E-05,6.59E-05,0
0.800107692,0.05214628,10.9375,0.241095833,0.001971459,-2.57E-05,6.37E-05,0
0.798166667,0.054064099,10.76923077,0.241191667,0.001990795,6.09E-05,6.27E-05,0
0.798166667,0.054064099,10.76923077,0.2412375,0.001967933,0.000274194,5.99E-05,0
0.798166667,0.054064099,10.76923077,0.241291667,0.001925253,0.000357038,5.53E-05,0
0.798166667,0.054064099,10.76923077,0.241354167,0.001878492,0.000397361,5.05E-05,0
0.798166667,0.054064099,10.76923077,0.2414125,0.001821358,0.0003761,4.42E-05,0
0.798166667,0.054064099,10.76923077,0.241470833,0.001769882,0.000233138,3.94E-05,0
0.798166667,0.054064099,10.76923077,0.2415375,0.001712287,0.000138563,3.44E-05,0
0.798166667,0.054064099,10.76923077,0.2416,0.001667833,-5.65E-05,3.04E-05,0
0.798661538,0.054329841,10.9375,0.24165,0.001666583,-0.0001239,2.83E-05,0
0.799921875,0.054383851,12.6984127,0.2417,0.001722885,-4.62E-05,2.86E-05,0
0.800890625,0.054323141,12.6984127,0.2417375,0.001710826,5.87E-06,2.66E-05,0
0.801553846,0.053950128,10.9375,0.241758333,0.00170047,0.000159824,2.37E-05,0
0.799876923,0.053832363,9.375,0.241791667,0.00172673,0.000402493,2.28E-05,0
0.796507692,0.051900829,9.375,0.2418375,0.001684071,0.000309384,1.80E-05,0
0.790833333,0.05225537,9.230769231,0.2418875,0.001702893,0.000335044,1.76E-05,0
0.782772727,0.054268635,9.230769231,0.241920833,0.001665202,0.000354839,1.13E-05,0
0.7816,0.053848163,9.375,0.2419625,0.001631286,0.000316716,7.32E-06,0
